Sector,N_Observations,N_Companies,Avg_Market_Cap,Avg_Return,Return_Volatility,Return_Skewness,Return_Kurtosis,Avg_Beta,Beta_Std,Avg_Debt_Ratio,Debt_Volatility,Avg_ROE,ROE_Volatility,Avg_BTM,BTM_Std,Sensitivity_Score,Classification
Diversified,9660,79,3242.084811107971,0.010223726708074534,0.09232129864018856,2.880248352078455,71.88500782529444,0.6352447667358225,0.5772244169060806,0.5127655568290062,0.17592477430037082,0.14639269629273582,1.004595491077071,0.7202296823207477,0.9218542738922358,79.41236759849538,Sensitive
Healthcare,6563,54,3070.2245820345115,0.012030976687490477,0.07764151699901199,1.5981310144754788,36.239031675963915,0.48570815079539226,0.3608424652080981,0.5497000363327899,0.16686651315235632,0.065048719726589,0.4254715178806516,0.5874394491441642,0.47951170309028546,45.16025334668659,Resilient
Hotel/Lodging,3533,31,2208.727425985282,0.0088594961788848,0.1268417866154365,1.2951909965889157,14.747993131773207,1.1439443318893043,0.7094818764398726,0.4803204152701104,0.17172648720670186,0.022453395652904506,0.5192538405854871,1.0501194752829162,0.9485500876619194,100.0,Sensitive
Industrial,3723,39,1736.2216849924791,0.00844764974482944,0.09608411200074858,3.5247158755943135,76.76995444767635,0.7185707884551087,0.4689863086661218,0.45620402338517324,0.1704042818171212,0.0228175455624552,0.25173753228618934,1.0077395946219205,0.8375042264310049,53.94695311453862,Resilient
Office,3278,32,10504.366705113789,0.0094114399023795,0.09179971754803604,0.5821967876022227,10.588471008112311,0.6991484318784909,0.38572881579832813,0.47388066848114707,0.18479959924534897,0.08000309268876304,0.8383635871520383,0.42704563112442107,0.34108432141623607,63.23199531725702,Sensitive
Residential,8778,83,4026.698977284461,0.010688072453861929,0.08660177271111705,1.1609262302593177,23.205014340039263,0.6606627800615807,0.4676405936955798,0.45571731506430624,0.13829114900096348,0.04733463310672771,0.4809471609522965,0.7441907435840992,0.7027111424416331,54.51038362373202,Sensitive
Retail,3423,29,4091.7575777861525,0.011340198656149577,0.08431969601683809,-0.005147414817303529,5.953069566322094,0.5892708533115729,0.3379844223214521,0.4511167767513293,0.13543472909735177,0.08066543256058328,0.38239008312978107,0.6647451281368243,0.45571864934508194,41.319765803174704,Resilient
Self-Storage/Specialty,1997,25,5589.825320443664,0.0148978968452679,0.061937924558226325,0.03594166924344011,2.679415517416434,0.3590919540752643,0.29880902751510235,0.21692600994957437,0.21908055289162384,0.10518219544695795,0.08277932440231939,0.7006474057738075,0.3819194422547866,0.0,Resilient
