decade_label,usdret_count,usdret_mean,usdret_std,usdret_min,usdret_median,usdret_max,market_equity_count,market_equity_mean,market_equity_std,market_equity_min,market_equity_median,market_equity_max,assets_count,assets_mean,assets_std,assets_min,assets_median,assets_max,sales_count,sales_mean,sales_std,sales_min,sales_median,sales_max,net_income_count,net_income_mean,net_income_std,net_income_min,net_income_median,net_income_max,book_equity_count,book_equity_mean,book_equity_std,book_equity_min,book_equity_median,book_equity_max,debt_at_count,debt_at_mean,debt_at_std,debt_at_min,debt_at_median,debt_at_max,cash_at_count,cash_at_mean,cash_at_std,cash_at_min,cash_at_median,cash_at_max,ocf_at_count,ocf_at_mean,ocf_at_std,ocf_at_min,ocf_at_median,ocf_at_max,roe_count,roe_mean,roe_std,roe_min,roe_median,roe_max,beta_count,beta_mean,beta_std,beta_min,beta_median,beta_max,btm_count,btm_mean,btm_std,btm_min,btm_median,btm_max
1980s,1438,0.0031926981919332405,0.08569699373022814,-0.403,0.0,0.7632,1454,90.8069486664374,77.15556491825097,10.0275,68.544005,396.75824,1355,292.0735771217712,1043.753949338352,12.688,121.55,8438.343,1281,32.25336143637783,81.83120276669212,1.793,16.517,750.838,1281,5.03271662763466,7.748541483832199,-30.088,2.993,36.761,1324,72.69438141993957,55.80675667750246,0.514,60.041,265.516,1355,0.3866104503364575,0.27416222199262946,0.0,0.34253806,1.0308299,1355,0.08458243680860886,0.113679304034753,0.0,0.032991834,0.68873733,1135,0.05061635324352423,0.055921421487905826,-0.2468516,0.047381546,0.24890107,1187,0.08501771726814816,0.19882420855052735,-1.3959670947030496,0.0771726217673398,1.6900278645613442,1094,0.5082906788434522,0.2604957536201079,-0.1893656812482929,0.48564801378968403,1.440136611427583,1324,1.117355217475314,1.0703525884385208,0.0049996960162391,0.9658574698248762,8.807364139633968
1990s,11297,0.010356926617686111,0.07297980341740076,-0.619,0.0063,1.6,11444,380.71483520250786,516.5337865435004,10.00125,220.834875,4972.4414,11120,615.7287461330935,1021.1660009876636,0.0,308.983,13454.759,10933,88.43357248696607,162.3711533486072,0.006,46.517,3564.0,10933,18.169712338790816,29.722872028281746,-115.268,8.991,256.949,10740,248.56403770949723,349.4015516847093,0.103,137.493,3267.159,11118,0.411795482691118,0.26296637291921154,0.0,0.418025425,1.7398998,11118,0.03716860075421129,0.07088092665360986,0.0,0.017424646000000002,1.0,10859,0.06717112671094944,0.1152234829562636,-0.4546208,0.06319793,6.1538463,9766,0.06521127806172121,0.4469452307071274,-4.432020916641034,0.07125627472193316,6.28677733257012,8789,0.4167644770421028,0.32533971232826214,-0.9529658197409604,0.3738984906822554,2.0824164669175267,10740,0.8655991564510372,0.6850300455006278,0.000608621148812,0.7217627892316543,11.680268743148783
2000s,12275,0.01340671283095723,0.10341276216263262,-0.798,0.0146,2.3644,12316,1468.0304241258525,2235.6431834906616,10.045,792.7845,25752.053,12282,2263.885359306302,2765.2927657465643,1.332,1332.547,25010.318,12233,377.2260525627401,546.4046486074519,0.0,202.396,5474.0,12233,51.43838535109949,103.3010370523058,-471.915,28.454,1482.131,12100,708.5620118181819,805.9399376858022,0.069,437.811,5887.0,12282,0.5206526149499837,0.17249626731949644,0.0,0.5237734,1.2151701,12282,0.03134009904826938,0.06222455892504202,0.0,0.013993994,0.9962649,12233,0.06042696021029511,0.03675978163502228,-0.13638043,0.058266964,0.8085509,11770,0.11978030160410927,1.0247025711857891,-8.468307233407904,0.0918932024505638,27.15145228215768,11635,0.424684729439785,0.4133938483724018,-0.8221413340774482,0.3032360329165415,3.832909125720527,12100,0.7531234271954504,0.7403778018664158,0.0001474423128388,0.5835482347736943,13.139899192529317
2010s,14847,0.010992348622617363,0.07522617309915097,-0.5158,0.0101,2.1883,14947,5084.496518286679,8617.705019788895,10.09125,2276.4946,101901.664,14880,5074.959143884409,6256.307890697236,0.83,2900.788,39072.7,14798,799.7617441546154,1131.0290310114067,0.0,428.3,8529.0,14807,115.98088046194368,294.8763132814323,-1655.316,41.424,4090.541,14485,1987.8457594062822,2538.6954054984253,0.164,1119.514,22265.535,14880,0.49668956261657254,0.17829196101997832,0.0,0.49043235,1.7722892,14880,0.039473472631461816,0.07231349591900577,0.0,0.018893806,0.99994,14807,0.05298255308973661,0.0633944014396943,-1.1313252,0.051039975,1.2562945,13777,0.04460408809440507,0.7534075013928068,-27.13815789473684,0.0484878292560158,15.635259589110412,13408,0.8899494838796461,0.5771198441803668,-0.6578928711691224,0.7755020867922598,3.9026894200668143,14485,0.5955547202068173,0.49472685791333953,0.0007130026834659,0.5046013632610351,10.44807084372748
2020s,7838,0.006604541974993622,0.11483195926765837,-0.769,0.0038,1.1659,7857,8899.091470375843,16902.940235560458,10.00458,2691.0554,133208.6,7855,8233.028122978994,11300.653196800064,19.942,4094.349,93537.42,7842,1193.3587166539148,1706.9193397084932,0.143,597.7515000000001,11144.2,7845,215.69750694710007,505.60276609168443,-1743.493,66.018,4556.497,7630,3395.05337378768,5319.312886557172,0.279,1633.1845,53571.883,7855,0.503566241362951,0.1847482272812279,0.0,0.47259462,1.4816353,7855,0.041856016618206274,0.05599522135374806,7.2087496e-06,0.024535155,0.5864819,7845,0.05416342164014506,0.03194473534711493,-0.08184171,0.052993875,0.21990038,7622,0.16409519604675976,4.048231432838261,-27.13815789473684,0.0443204096502916,98.1997057741817,7535,0.9350719102994995,0.5123300647807087,-0.4671878931533009,0.8626228246444259,3.471380102863334,7630,0.8409810662976163,1.1458654743126515,0.0022126849177527,0.5746166702858615,20.17036787686869
