permno,ticker,comnam,usdret_count,usdret_mean,usdret_std,usdret_min,usdret_median,usdret_max,market_equity_count,market_equity_mean,market_equity_std,market_equity_min,market_equity_median,market_equity_max,assets_count,assets_mean,assets_std,assets_min,assets_median,assets_max,sales_count,sales_mean,sales_std,sales_min,sales_median,sales_max,net_income_count,net_income_mean,net_income_std,net_income_min,net_income_median,net_income_max,book_equity_count,book_equity_mean,book_equity_std,book_equity_min,book_equity_median,book_equity_max,debt_at_count,debt_at_mean,debt_at_std,debt_at_min,debt_at_median,debt_at_max,cash_at_count,cash_at_mean,cash_at_std,cash_at_min,cash_at_median,cash_at_max,ocf_at_count,ocf_at_mean,ocf_at_std,ocf_at_min,ocf_at_median,ocf_at_max,roe_count,roe_mean,roe_std,roe_min,roe_median,roe_max,beta_count,beta_mean,beta_std,beta_min,beta_median,beta_max,btm_count,btm_mean,btm_std,btm_min,btm_median,btm_max
10952,UNII,UNI INVEST U S LTD,219,0.011580365296803652,0.14037314828520084,-0.6329,0.0094,1.0632,220,396.9480547,145.74628059329055,12.6,396.35360000000003,720.987,219,1248.6610456621004,381.6890332678938,182.496,1287.604,1835.149,219,128.11187671232878,39.99281009978408,19.245,142.645,181.276,219,5.101776255707763,18.950453141206104,-58.457,10.921,47.447,219,358.6313515981735,106.43276747938468,2.75,381.99,518.989,219,0.526888227260274,0.05471690110257755,0.41982704,0.5225385,0.7698068,219,0.013665216644136986,0.008671626011725398,2.0451922e-05,0.014364036,0.05440803,219,0.03374565144018265,0.012034632995166588,-0.014300908,0.035029247,0.048541766,219,-0.009217391314934004,0.09662798461509171,-0.3088902012718184,0.031347097301717,0.0848774383048513,219,0.9872711918045494,0.8462995589904724,-0.8221413340774482,1.1357867993045376,2.551681576026198,219,1.0079836691407504,0.587517553478661,0.0134293152965537,0.8446125668774319,5.752738245435911
10978,MDI,MID AMERICA REALTY INVESTMTS INC,139,0.005190647482014388,0.06010902038950912,-0.1628,0.0,0.216,140,65.17329255,18.239651511110562,28.8585,67.45781,97.1265,136,119.98149264705883,38.97653633928174,34.872,128.387,163.121,124,17.24291129032258,5.851633192928873,5.235,17.403,24.324,124,2.5807903225806452,1.746982635764215,-0.128,2.315,5.604,136,73.05049264705883,21.03113286605301,29.37,80.474,97.486,136,0.3636824761911765,0.09499488277488756,0.08671979,0.39342174,0.5269428,136,0.019686367633852942,0.032148199564074366,0.0,0.004221872,0.13792226,124,0.05278748567741935,0.012442912537623823,0.023029584,0.05445338,0.071344346,122,0.03144888251457127,0.018991353841946404,-0.0014744335525785,0.0345423143350604,0.0668966587482541,120,0.6823341511212112,0.1964256728222179,0.4034757745568664,0.6387959065209323,1.0467669633906804,136,1.1197374516697518,0.24933713336742513,0.4391119210470718,1.1098856064001923,1.6832599509804913
11297,WTPR,WETTERAU PROPERTIES INC,65,0.03763692307692308,0.1051323846532771,-0.1011,0.0109,0.5532,65,20.719643230769233,6.18653552338412,10.4295,22.05975,30.512875,63,83.65407936507937,21.76321326288601,35.411,91.666,102.916,63,10.192698412698412,3.2523585220521394,3.14,11.881,13.632,63,1.3346666666666667,0.5291526397260362,0.588,1.257,2.4,63,6.241857142857143,1.5240650318139821,3.325,5.389,9.357,63,0.9093012525396825,0.018369410694424965,0.8536048,0.9089449,0.93413043,63,0.013522269163714285,0.00898391958563729,0.0,0.015044084,0.0313506,63,0.037600743507936504,0.006166573504315027,0.01658908,0.03846154,0.04701795,59,0.19397526224628026,0.04106232013609872,0.1233832888523916,0.2190531345012306,0.2332020830687158,62,0.09219666783874711,0.07090131862644015,-0.1007261972711668,0.09728477724720455,0.2475491116353753,63,0.3076242209210589,0.05461966631405818,0.1840442586989803,0.3052914461781089,0.467040588051185
11967,SZD,SIERRA CAPITAL REALTY TR IV CO,82,0.02433780487804878,0.21995918231908382,-0.5,0.0,1.6,82,31.127850585365856,18.432250425524284,10.26575,30.8158125,71.2785,82,82.1589756097561,15.91623729106759,57.731,88.487,101.168,78,8.723128205128205,1.7046206140650297,5.927,8.541,11.423,78,-2.1130512820512823,3.8089349668577412,-12.863,-0.2085,1.826,82,44.684256097560976,15.688530157852616,21.124,52.697,63.49,82,0.4416311315853659,0.12418575746075983,0.21313715,0.446488,0.61923665,82,0.06391148441463415,0.06874012590200734,0.009072147,0.0629278,0.3859675,78,0.017667224546153847,0.006456397001370179,0.0057829563,0.0188484,0.036787465,76,-0.06706013605926589,0.10829589537471317,-0.2786615469007131,-0.0039850465870922,0.0297495886215155,70,1.0551890620952706,0.5331818857368048,0.5577197093599805,0.6465919035133143,1.944504809902279,82,1.7354253967324782,0.7315198317547263,0.8749482898555216,1.6560381581404422,5.029539972187363
12072,PKY,PARKWAY PROPERTIES INC,236,0.006730508474576272,0.08985046253895279,-0.5444,0.006500000000000001,0.3466,237,657.9864285232068,556.1514963531914,115.68975,405.1034,2227.9158,237,1419.0823164556964,924.2784961220102,143.961,1214.213,3756.697,237,203.25186075949367,109.47400840406162,21.713,186.693,490.472,237,13.062506329113923,31.108262691497615,-65.112,19.522,121.453,237,453.3978227848101,349.9403391955049,73.203,348.272,1427.274,237,0.4917548449367089,0.08002932510631208,0.24216217,0.49007255,0.63594556,237,0.012948898125189873,0.01482181845958343,0.0001718392,0.0073655713,0.069329,237,0.04754438884810127,0.018479866065547336,0.009303781,0.047061358,0.087206155,237,0.038361526147841704,0.14672001938613696,-0.5229512047373561,0.0592095317090311,0.2401902013777407,237,0.8363594520869436,0.48922535885096163,0.1932939159039463,0.6827025548561333,1.6753329815866411,237,0.7777722276706361,0.28611971590321406,0.360571734803696,0.7135865158952415,2.3157357255132194
12093,COR,CORESITE REALTY CORP,134,0.02318059701492537,0.07038058246143475,-0.1563,0.02725,0.2007,135,2453.7653287407406,1899.2240754500554,253.14352,2316.461,7559.5547,135,1328.6913851851853,518.1797981049385,239.42,1162.543,2182.978,135,349.83351851851853,176.29130547582582,31.848,333.298,628.685,135,39.34057777777778,33.41478822507136,-9.849,34.706,87.907,135,221.93272592592595,68.79068011462948,19.527,223.44,331.0,135,0.43075772196296297,0.26355130325089304,0.07068229,0.33633766,0.8954633,135,0.015467439024592593,0.028658359489971124,0.00072678254,0.004629439,0.12150161,135,0.10013143136296296,0.03591430584065262,0.005997828,0.11510216,0.13959411,126,0.20639367805205686,0.2775515083759084,-0.0211247895486976,0.1152575244838385,1.2473694971768294,115,0.583283728276835,0.3473309562574843,0.1053559504611879,0.5294152419088622,1.026881110229983,135,0.22898136717395426,0.2218994907170942,0.002583088611333,0.1290125702092341,0.8407205354799921
12323,CCG,CAMPUS CREST COMMUNITIES INC,64,-0.002009375,0.07937005696394779,-0.2013,-0.00555,0.2462,65,469.4298358461539,134.72757084849806,308.96274,430.16165,881.79395,65,879.0723230769231,428.69636551723966,327.461,696.32,1590.33,65,107.0195076923077,21.443702459961198,78.84,102.97,151.443,65,-27.4286,56.92658652153447,-153.214,-5.244,15.641,59,417.56130508474575,166.52910063805393,227.109,345.025,677.376,65,0.48680700523076925,0.20663941091376267,0.27835166,0.41344422,1.0756854,65,0.033740075661538464,0.029651570482448927,0.014177389,0.024898453,0.122933365,65,0.024141590326153844,0.019660666106123322,-0.01864746,0.026475653,0.05635739,57,-0.05646772888677711,0.12969582777941835,-0.3438691326509049,0.0023930687920362,0.0315807096848097,45,0.6882316806623383,0.06973749470288138,0.56786099785178,0.6753772374084305,0.8463654367830579,59,0.8910177074522613,0.3092600341847813,0.3209185011341225,0.8765009837834187,1.6324767547791663
12513,AAT,AMERICAN ASSETS TRUST INC,167,0.0071538922155688625,0.07589588441347775,-0.3896,0.0103,0.3708,168,1638.668899047619,483.07189861270257,705.1478,1682.20145,2935.4946,168,2295.8119285714283,546.1572123989756,1103.713,2178.608,3051.07,168,308.7554285714285,79.29208231984849,131.402,306.95399999999995,448.135,168,27.056267857142853,15.86183059882393,-1.414,29.129,54.27,168,905.0729642857143,298.65212746827734,120.292,811.178,1317.365,168,0.5600564569642857,0.05422556927678214,0.48141724,0.5565422250000001,0.8073104,168,0.043505739160714284,0.024943067164064074,0.016590688,0.034617305,0.12532195,168,0.05159910540714286,0.01466902540925801,-0.0008230044,0.055450484,0.068392135,151,0.032193062653224025,0.01275173936304414,0.0046595136662561,0.0350851690023037,0.0555610383466408,148,0.7885202924187176,0.30220852739663256,0.29603626316167,0.8367281935609128,1.2874075766830244,168,0.5738042789999139,0.2077486636628796,0.1381907625584055,0.5174982096831677,1.127766237192608
12566,INN,SUMMIT HOTEL PROPERTIES INC,166,0.0070933734939759045,0.10955891573226417,-0.5448,0.0028,0.6458,167,907.2138770658682,386.8165353333404,192.58267,923.6074,1943.9081,167,1858.6899401197604,794.3373867589619,491.759,2043.878,3124.677,167,417.037119760479,186.36257673122364,133.208,453.483,743.726,167,21.159323353293413,72.47824694433311,-159.382,6.581,181.592,167,846.0345149700598,315.40006130999336,61.468,941.992,1274.18,167,0.4505687107784431,0.08522004402358307,0.3127476,0.43968862,0.8527958,167,0.03684034680838323,0.01402407391117649,0.016251776,0.03531752,0.067467235,167,0.05075460184730538,0.02604810451090963,-0.02364814,0.05332323,0.0892787,151,0.020450669252680794,0.07590199663713403,-0.1449848682240797,0.0072589767781899,0.1459454134105535,147,1.4137810454376516,0.4642936511637149,0.7047571277403626,1.2095047853948495,2.1462360221960988,167,0.9806145505656122,0.3540816392665783,0.1985366401122031,0.938907183433451,2.661491280423097
12668,APTS,PREFERRED APARTMENT CMNTYS INC,133,0.017830827067669173,0.10364436219698525,-0.2199,0.0057,0.5144,134,371.130012238806,309.1160418840199,29.4861,330.09131,1607.2085,134,2152.189604477612,1867.346548635972,0.83,1757.009,5267.647,134,208.28585820895523,190.532873097056,0.0,151.463,505.06,134,-11.74147014925373,56.99058746604272,-196.848,-1.419,43.467,128,773.895234375,675.8617850843657,30.296,685.811,1931.277,134,0.5882410991044776,0.18487773518528977,0.46551365,0.5607183,1.7722892,134,0.02678172408544776,0.01288211964140098,0.00090415915,0.026215589,0.06387989,134,-0.0766843144925373,0.33212566313709085,-1.1313252,0.026727293,0.051087063,120,-0.035919844822180406,0.08068893269379221,-0.2453925703391299,-0.004170941907727,0.0270295311946173,114,0.7424481500574591,0.4052382572688044,-0.0092446936283639,0.8242567692883154,1.4402549707019314,128,1.863334840676477,1.3643766399430879,0.0579262035521989,1.495252107194173,6.530137187280355
